BE	Int
480	387.24414
479.89999	380.519
479.79999	384.86692
479.70001	385.62515
479.60001	383.94323
479.5	388.30265
479.39999	395.42958
479.29999	386.14136
479.20001	386.21542
479.10001	380.87493
479	389.41807
478.89999	378.57991
478.79999	387.4155
478.70001	393.74948
478.60001	389.86588
478.5	384.65643
478.39999	382.79438
478.29999	389.07188
478.20001	382.14049
478.10001	383.4849
478	389.60323
477.89999	400.96244
477.79999	393.67631
477.70001	394.5877
477.60001	403.82627
477.5	392.59747
477.39999	394.58942
477.29999	395.46514
477.20001	391.61575
477.10001	386.39426
477	391.02459
476.89999	389.21094
476.79999	389.19371
476.70001	401.05924
476.60001	387.78439
476.5	391.18183
476.39999	390.91727
476.29999	387.44494
476.20001	397.96108
476.10001	393.56363
476	396.89949
475.89999	399.30135
475.79999	391.54395
475.70001	393.53612
475.60001	394.31062
475.5	391.01133
475.39999	392.95825
475.29999	387.29852
475.20001	390.62002
475.10001	397.48216
475	394.64828
474.89999	392.23492
474.79999	386.81364
474.70001	392.56173
474.60001	404.58849
474.5	391.6367
474.39999	394.24595
474.29999	398.73606
474.20001	389.7793
474.10001	398.59954
474	398.13992
473.89999	396.63202
473.79999	393.52044
473.70001	397.1653
473.60001	396.03066
473.5	398.95475
473.39999	396.39401
473.29999	394.45004
473.20001	395.54095
473.10001	400.86672
473	390.21358
472.89999	381.1048
472.79999	394.07802
472.70001	397.86732
472.60001	393.28039
472.5	396.52908
472.39999	395.12238
472.29999	398.75853
472.20001	393.45151
472.10001	397.53392
472	400.41706
471.89999	397.65868
471.79999	399.47388
471.70001	397.49029
471.60001	399.82516
471.5	394.75021
471.39999	400.96185
471.29999	403.97993
471.20001	401.83863
471.10001	398.95609
471	402.86288
470.89999	395.89903
470.79999	401.0753
470.70001	387.34442
470.60001	402.86884
470.5	397.70854
470.39999	399.28186
470.29999	397.85808
470.20001	397.49679
470.10001	400.68677
470	403.2777
469.89999	394.54859
469.79999	404.50847
469.70001	399.54171
469.60001	396.84114
469.5	391.05046
469.39999	401.39344
469.29999	402.96301
469.20001	400.7836
469.10001	395.64842
469	397.12197
468.89999	395.3698
468.79999	407.50876
468.70001	398.87276
468.60001	394.77262
468.5	395.86484
468.39999	398.04852
468.29999	405.3981
468.20001	405.23368
468.10001	398.82788
468	391.37331
467.89999	407.69222
467.79999	400.00072
467.70001	394.1569
467.60001	402.53723
467.5	395.43492
467.39999	401.78716
467.29999	408.35413
467.20001	397.35678
467.10001	409.93738
467	398.41196
466.89999	404.28555
466.79999	397.52552
466.70001	401.19681
466.60001	396.82102
466.5	404.35374
466.39999	406.34438
466.29999	414.50891
466.20001	396.44301
466.10001	403.39294
466	397.17403
465.89999	402.06513
